1,0,1,0,1,131,0
2,2.7692,1,1,0.5,82,3
3,4.3891,1,1,1,83,3
4,1.0137,1,1,0.5,84,0
5,0.7966,1,1,0.5,85,3
6,0.3142,1,1,0.1,86,3
7,3.3842,1,1,0.1,87,3
8,0.0952,1,1,1,88,3
9,1.4902,1,1,0.5,89,3
10,4.9852,1,1,0.1,90,3
11,3.9144,1,1,0.5,91,3
12,1.2475,1,1,0.1,92,3
13,3.4919,1,1,0.1,93,3
14,0.7057,1,1,0.1,94,3
15,3.2242,1,1,0.1,95,3
16,4.3873,1,1,0.1,96,3
17,4.6063,1,1,0.5,97,3
18,1.7834,1,1,0.5,98,3
19,2.4895,1,1,0.5,99,3
20,3.4786,1,1,1,100,3
21,3.6046,1,1,1,101,3
22,2.3594,1,1,0.5,102,3
23,1.8648,1,1,0.1,103,3
24,1.4347,1,1,0.5,104,3
25,0.3901,1,1,0.5,105,3
26,2.2761,1,1,0.1,106,0
27,0.8483,1,1,0.1,107,3
28,2.0413,1,1,0.5,108,3
29,4.7127,1,1,1,109,0
30,2.6176,1,1,0.1,110,0
31,4.6797,1,1,0.5,111,3
32,0.4706,1,1,0.1,112,3
33,5.0836,1,1,0.5,113,3
34,0.4937,1,1,0.5,114,3
35,1.6031,1,1,0.5,115,0
36,4.0205,1,1,1,116,3
37,3.0838,1,1,0.5,117,3
38,2.3851,1,1,0.1,118,3
39,1.5262,1,1,0.5,119,3
40,0.6817,1,1,0.1,120,3
41,1.5102,1,1,0.1,121,3
42,0.853,1,1,0.1,122,3
43,1.6233,1,1,0.5,123,3
44,0.5623,1,1,1,124,3
45,4.2597,1,1,0.1,125,0
46,4.9738,1,1,0.5,126,0
47,1.1174,1,1,0.1,127,3
48,3.6146,1,1,0.1,128,3
49,0.1997,1,1,0.1,129,3
50,3.4266,1,1,0.5,132,3
51,0.1904,1,1,1,133,3
52,0.0171,1,1,0.1,134,3
53,0.7293,1,1,0.5,135,3
54,4.4149,1,1,0.5,136,3
55,1.4131,1,1,0.1,137,3
56,2.7219,1,1,0.1,138,3
57,2.6734,1,1,0.5,139,3
58,2.9058,1,1,1,140,3
59,1.7049,1,1,0.1,141,3
60,2.1164,1,1,0.5,142,0
61,2.1211,1,1,0.1,143,3
62,5.0369,1,1,0.5,144,0
63,0.2956,1,1,0.5,145,3
64,2.03,1,1,1,146,3
65,4.051,1,1,0.5,147,3
66,3.0418,1,1,1,148,3
67,1.5847,1,1,0.5,149,3
68,4.6166,1,1,0.5,150,3
69,0.4767,1,1,0.5,151,3
70,1.6332,1,1,0.5,152,3
71,4.5406,1,1,0.1,153,3
72,3.3656,1,1,0.5,154,3
73,3.5042,1,1,0.5,155,3
74,2.4263,1,1,0.1,156,3
75,0.7231,1,1,0.1,157,3
76,4.868,1,1,1,158,3
77,4.5184,1,1,0.5,159,3
